key,year,bin,id,dom_ec,rank,power,group
172,2022,17,PPO,0.0459643790160283,4,0.954035620983972,1
173,2022,17,POP,0.0461057285592713,5,0.953894271440729,1
174,2022,17,PBO,0.0504999763547267,6,0.949500023645273,1
175,2022,17,GGP,0.0891789148450177,7,0.910821085154982,1
176,2022,17,OPP,0.108738912026643,8,0.891261087973357,1
177,2022,17,BOB,0.146833090956996,9,0.853166909043004,1
178,2022,17,PGG,0.15047476429894,10,0.849525235701061,1
179,2022,17,GPO,0.261092553943922,11,0.738907446056078,1
180,2022,18,BBB,0.0367972527029176,1,0.963202747297082,1
181,2022,18,POP,0.0369568944148753,2,0.963043105585125,1
182,2022,18,PPO,0.0481514235041143,3,0.951848576495886,1
183,2022,18,OOO,0.0530690537502428,4,0.946930946249757,1
184,2022,18,PBO,0.0847166207975724,5,0.915283379202428,1
185,2022,18,OPO,0.087263774252718,6,0.912736225747282,1
186,2022,18,GPO,0.0969883214257574,7,0.903011678574243,1
187,2022,18,PGG,0.108016074026772,8,0.891983925973229,1
188,2022,18,GGP,0.108708274349986,9,0.891291725650014,1
189,2022,18,BOB,0.133932934978016,10,0.866067065021984,1
190,2022,18,OPP,0.205399375797029,11,0.794600624202971,1
191,2022,19,BBB,0.0297812228753264,1,0.970218777124674,1
192,2022,19,POP,0.0459401329867987,2,0.954059867013201,1
193,2022,19,PPO,0.0539547336083929,3,0.946045266391607,1
194,2022,19,GPO,0.0649543981541695,4,0.935045601845831,1
195,2022,19,PBO,0.0794137698320366,5,0.920586230167963,1
196,2022,19,OPO,0.0978896279243795,6,0.902110372075621,1
197,2022,19,OOO,0.0991848867381811,7,0.900815113261819,1
198,2022,19,PGG,0.113581929946486,8,0.886418070053514,1
199,2022,19,GGP,0.183487653705874,9,0.816512346294126,1
200,2022,19,BOB,0.231811644228355,10,0.768188355771644,1
201,2022,20,BBB,0.0339331469240597,1,0.96606685307594,1
202,2022,20,POP,0.0340976453691239,2,0.965902354630876,1
203,2022,20,PPO,0.0518444945430974,3,0.948155505456903,1
204,2022,20,OOO,0.0716015069528862,4,0.928398493047114,1
205,2022,20,OPO,0.0774465312787569,5,0.922553468721243,1
206,2022,20,PBO,0.0953456816225935,6,0.904654318377407,1
207,2022,20,GPO,0.105860626288922,7,0.894139373711078,1
208,2022,20,PGG,0.141010761444696,8,0.858989238555304,1
209,2022,20,GGP,0.14436656208266,9,0.85563343791734,1
210,2022,20,BOB,0.244493043493205,10,0.755506956506795,1
211,2022,21,BBB,0.0371734340671262,1,0.962826565932874,1
212,2022,21,POP,0.038028048953534,2,0.961971951046466,1
213,2022,21,PPO,0.0500516807567008,3,0.949948319243299,1
214,2022,21,GPO,0.0551837362886615,4,0.944816263711338,1
215,2022,21,PBO,0.0687885631852276,5,0.931211436814772,1
216,2022,21,GGP,0.0742677296706036,6,0.925732270329396,1
217,2022,21,OPO,0.0787253021511976,7,0.921274697848802,1
218,2022,21,PGG,0.0928730057628403,8,0.90712699423716,1
219,2022,21,OOO,0.0950783234562308,9,0.904921676543769,1
220,2022,21,BOB,0.179011600589335,10,0.820988399410665,1
221,2022,21,OPP,0.230818575118542,11,0.769181424881458,1
222,2022,22,BBB,0.0371821010788154,1,0.962817898921185,1
223,2022,22,POP,0.0374415158174942,2,0.962558484182506,1
224,2022,22,PPO,0.0500299070161023,3,0.949970092983898,1
225,2022,22,GGP,0.0512766757924196,4,0.94872332420758,1
226,2022,22,GPO,0.0651473671597711,5,0.934852632840229,1
227,2022,22,PBO,0.0715655196525766,6,0.928434480347423,1
228,2022,22,OOO,0.0767188151958618,7,0.923281184804138,1
229,2022,22,OPO,0.0774238398448531,8,0.922576160155147,1
230,2022,22,PGG,0.147719064840077,9,0.852280935159923,1
231,2022,22,OPP,0.183527304361908,10,0.816472695638092,1
232,2022,22,BOB,0.201967889240121,11,0.798032110759879,1
233,2022,23,PPO,0.0459551039615651,1,0.954044896038435,1
234,2022,23,OOO,0.0482403517389185,2,0.951759648261082,1
235,2022,23,POP,0.052162948955312,3,0.947837051044688,1
236,2022,23,GPO,0.0541790290309637,4,0.945820970969036,1
237,2022,23,OPO,0.0550763143905768,5,0.944923685609423,1
238,2022,23,PBO,0.0576432044868644,6,0.942356795513136,1
239,2022,23,PGG,0.132721793727322,7,0.867278206272678,1
240,2022,23,GGP,0.161371022371161,8,0.838628977628839,1
241,2022,23,OPP,0.190517882528466,9,0.809482117471534,1
242,2022,23,BOB,0.202132348808851,10,0.797867651191149,1
243,2022,24,PBO,0.0341885148152693,1,0.965811485184731,1
244,2022,24,GPO,0.034418321826367,2,0.965581678173633,1
245,2022,24,OPO,0.043179614772308,3,0.956820385227692,1
246,2022,24,PPO,0.048173648817533,4,0.951826351182467,1
247,2022,24,POP,0.0587011367160233,5,0.941298863283977,1
248,2022,24,OOO,0.0587256184897022,6,0.941274381510298,1
249,2022,24,PGG,0.13225255138121,7,0.86774744861879,1
250,2022,24,GGP,0.181758296219657,8,0.818241703780343,1
251,2022,24,OPP,0.200625132407625,9,0.799374867592375,1
252,2022,24,BOB,0.207977164554305,10,0.792022835445695,1
253,2022,25,PBO,0.0208191484939732,1,0.979180851506027,1
254,2022,25,GPO,0.0209190039934065,2,0.979080996006593,1
255,2022,25,PPO,0.0257846950799057,3,0.974215304920094,1
256,2022,25,OOO,0.0296114773499998,4,0.97038852265,1
257,2022,25,POP,0.0342055608676659,5,0.965794439132334,1
258,2022,25,PGG,0.0488621612854362,6,0.951137838714564,1
