key,bin,id,dom_ec,rank,power
104,5,POP,0.0296086281797878,6,0.970391371820212
105,5,PBB,0.0331158047311342,7,0.966884195268866
106,5,GGG,0.0352196766511855,8,0.964780323348815
107,5,OBB,0.035465887575354,9,0.964534112424646
108,5,PPO,0.0397960140150385,10,0.960203985984961
109,5,GOP,0.0423792226387476,11,0.957620777361252
110,5,PPP,0.0448407064270818,12,0.955159293572918
111,5,OOO,0.0467659903660865,13,0.953234009633913
112,5,PBO,0.0498735017109963,14,0.950126498289004
113,5,POO,0.0529877364370348,15,0.947012263562965
114,5,PPB,0.0584251257916486,16,0.941574874208351
115,5,PGG,0.0647499287089317,17,0.935250071291068
116,5,OOP,0.0806381195940479,18,0.919361880405952
117,5,BOB,0.10532107992659,19,0.89467892007341
118,5,BBB,0.1586598703268,20,0.8413401296732
