date,event ,comments,julian_day,capture,total_obs_day,perturbation,experiment,focal_bird,dompattern_focal,bin,westFP_out,westFP_in,eastFP_in,eastFP_out,east_out_one,playback_trial
2022-05-07,day off,Darby emergency off: Annemarie leaves the field,119,,109,6,,top-ranked,,,,,,,,
2022-05-08,day off,Darby emergency off,120,,110,6,,top-ranked,,,,,,,,
2022-05-09,observations,Darby emergency off,121,,111,7,reintroduction,top-ranked,stranger,26,,,,,,
2022-05-10,observations,Darby emergency off,122,,112,7,reintroduction,top-ranked,stranger,26,,,,,,
2022-05-11,observations,,123,,113,7,reintroduction,top-ranked,stranger,26,,,,,,
2022-05-12,"trapping, half day off",,124,8,114,7,,,,,,,,,,
2022-05-13,perturbation + observations,,125,,115,7,introduction,stranger,stranger,27,,,,,,
2022-05-14,observations,Darby absent for job interview,126,,116,7,introduction,stranger,stranger,27,,,,,,
2022-05-15,observations,Darby absent for job interview,127,,117,7,introduction,stranger,stranger,27,,,,,,
2022-05-16,,Darby absent for job interview,128,,118,7,introduction,stranger,stranger,28,,,,,,
2022-05-17,,,129,,119,7,introduction,stranger,stranger,28,,,,,,
2022-05-18,,,130,,120,7,,,,,,,,,,
2022-05-19,,,131,,121,7,introduction,stranger,stranger,29,,,,,,
2022-05-20,,,132,,122,7,introduction,stranger,stranger,29,,,,,,
2022-05-21,,,133,,123,7,introduction,stranger,stranger,29,,,,,,
2022-05-22,,,134,,124,7,introduction,stranger,stranger,29,,,,,,
2022-05-23,,,135,,125,7,,,,,,,,,,
2022-05-24,,,136,,126,7,introduction,stranger,stranger,30,,,,,,
2022-05-25,,,137,,127,7,introduction,stranger,stranger,30,,,,,,
2022-05-26,,,138,,128,7,introduction,stranger,stranger,30,,,,,,
2022-05-27,,,139,,129,7,introduction,stranger,stranger,30,,,,,,
2022-05-28,,,140,,130,,,,,,,,,,,
2022-05-29,vocalizations,rolling day off,141,,131,,,,,,,,,,,
2022-05-30,vocalizations,rolling day off,142,,132,,,,,,,,,,,
2022-05-31,vocalizations,rolling day off,143,,133,,,,,,,,,,,
2022-06-01,vocalizations,rolling day off,144,,134,,,,,,,,,,,
2022-06-02,,,145,,135,,,,,,,,,,,
