"","bin","id","dom_ec","rank","power"
"43",2,"GPG",0.0233886621591499,3,0.97661133784085
"44",2,"PPB",0.027831277523747,4,0.972168722476253
"45",2,"PBO",0.0281568065289641,5,0.971843193471036
"46",2,"GGO",0.0295487184223362,6,0.970451281577664
"47",2,"GOP",0.0300708724682218,7,0.969929127531778
"48",2,"PBB",0.0411370433780376,8,0.958862956621962
"49",2,"POP",0.0414459465602315,9,0.958554053439769
"50",2,"OGO",0.0428267133292702,10,0.95717328667073
"51",2,"PPP",0.049543277932614,11,0.950456722067386
"52",2,"OBB",0.05090413190426,12,0.94909586809574
"53",2,"POO",0.0541866888081506,13,0.945813311191849
"54",2,"OOO",0.0592566257123537,14,0.940743374287646
"55",2,"PPO",0.0634972266354558,15,0.936502773364544
"56",2,"OOP",0.080637322063753,16,0.919362677936247
"57",2,"GGG",0.0896671782012416,17,0.910332821798758
"58",2,"PGG",0.0936486929934181,18,0.906351307006582
"59",2,"BOB",0.14979892446673,19,0.85020107553327
"60",3,"GPG",0.0188865583822667,1,0.981113441617733
"61",3,"OPP",0.0253329232062912,2,0.974667076793709
"62",3,"GGO",0.0264030740285775,3,0.973596925971423
"63",3,"GOO",0.0343569901701133,4,0.965643009829887
"64",3,"PBO",0.0397278967120631,5,0.960272103287937
"65",3,"PBB",0.0402827258759653,6,0.959717274124035
"66",3,"POP",0.0438457769451931,7,0.956154223054807
"67",3,"OGO",0.0447019907090734,8,0.955298009290927
"68",3,"PPB",0.0493626180301746,9,0.950637381969825
"69",3,"POO",0.054082544538704,10,0.945917455461296
"70",3,"PPO",0.0550268703391608,11,0.944973129660839
"71",3,"GOP",0.0573799412500118,12,0.942620058749988
"72",3,"OBB",0.0582189300211323,13,0.941781069978868
"73",3,"OOO",0.0604667692818563,14,0.939533230718144
"74",3,"GGG",0.0626057700097299,15,0.93739422999027
"75",3,"OOP",0.0632307310138002,16,0.9367692689862
"76",3,"PPP",0.0654290950954908,17,0.934570904904509
"77",3,"PGG",0.0870348493222184,18,0.912965150677782
"78",3,"BOB",0.113623945068177,19,0.886376054931823
"79",4,"GPG",0.0157137063384467,1,0.984286293661553
"80",4,"OPP",0.0210276835184734,2,0.978972316481527
"81",4,"GGO",0.0218214231584056,3,0.978178576841594
"82",4,"PBO",0.0290783176533921,4,0.970921682346608
"83",4,"PPB",0.0297959620593609,5,0.970204037940639
"84",4,"POP",0.0303766159797571,6,0.969623384020243
"85",4,"PBB",0.0314276608137969,7,0.968572339186203
"86",4,"GOO",0.0342767565190509,8,0.965723243480949
"87",4,"OGO",0.0343438983052613,9,0.965656101694739
"88",4,"OOO",0.0397605451187603,10,0.96023945488124
"89",4,"GOP",0.0403980326896958,11,0.959601967310304
"90",4,"PPP",0.0443123623266228,12,0.955687637673377
"91",4,"OBB",0.0502351401982342,13,0.949764859801766
"92",4,"PGG",0.0520114283408802,14,0.94798857165912
"93",4,"POO",0.0531589678320734,15,0.946841032167927
"94",4,"PPO",0.0588322089643766,16,0.941167791035623
"95",4,"GGG",0.0678011525256539,17,0.932198847474346
"96",4,"BOB",0.0827879920542076,18,0.917212007945792
"97",4,"OOP",0.0920807970330352,19,0.907919202966965
"98",4,"BBB",0.170759348570515,20,0.829240651429485
"99",5,"GPG",0.0172697427058857,1,0.982730257294114
"100",5,"OPP",0.0228028449085293,2,0.977197155091471
"101",5,"GGO",0.0248313608767449,3,0.975168639123255
"102",5,"GOO",0.028510482340566,4,0.971489517659434
"103",5,"OGO",0.0287382760878093,5,0.971261723912191
"104",5,"POP",0.0296086281797878,6,0.970391371820212
"105",5,"PBB",0.0331158047311342,7,0.966884195268866
"106",5,"GGG",0.0352196766511855,8,0.964780323348815
"107",5,"OBB",0.035465887575354,9,0.964534112424646
"108",5,"PPO",0.0397960140150385,10,0.960203985984961
"109",5,"GOP",0.0423792226387476,11,0.957620777361252
"110",5,"PPP",0.0448407064270818,12,0.955159293572918
"111",5,"OOO",0.0467659903660865,13,0.953234009633913
"112",5,"PBO",0.0498735017109963,14,0.950126498289004
"113",5,"POO",0.0529877364370348,15,0.947012263562965
"114",5,"PPB",0.0584251257916486,16,0.941574874208351
"115",5,"PGG",0.0647499287089317,17,0.935250071291068
"116",5,"OOP",0.0806381195940479,18,0.919361880405952
"117",5,"BOB",0.10532107992659,19,0.89467892007341
"118",5,"BBB",0.1586598703268,20,0.8413401296732
"119",6,"OPP",0.0113921325590128,1,0.988607867440987
"120",6,"POP",0.0166045275425413,2,0.983395472457459
"121",6,"PBO",0.0233200761990434,3,0.976679923800957
"122",6,"GOO",0.0253363487337375,4,0.974663651266263
"123",6,"GGO",0.0272810778789588,5,0.972718922121041
"124",6,"PBB",0.0313653230686084,6,0.968634676931392
"125",6,"OGO",0.035335581085987,7,0.964664418914013
"126",6,"OBB",0.0369179727715919,8,0.963082027228408
"127",6,"GGG",0.037595180799042,9,0.962404819200958
"128",6,"OOO",0.0443234373721618,10,0.955676562627838
"129",6,"PGG",0.0453378837289463,11,0.954662116271054
"130",6,"PPO",0.0457283588150884,12,0.954271641184912
"131",6,"GOP",0.0483511015315851,13,0.951648898468415
"132",6,"PPP",0.0486430666571365,14,0.951356933342864
"133",6,"PPB",0.0539926216667241,15,0.946007378333276
"134",6,"BOB",0.0663296971732674,16,0.933670302826733
"135",6,"OOP",0.088732371906615,17,0.911267628093385
"136",6,"BBB",0.147641178223705,18,0.852358821776295
"137",6,"POO",0.165772062286247,19,0.834227937713752
"138",7,"OPP",0.0200130983592653,1,0.979986901640735
"139",7,"POP",0.0287245471098898,2,0.97127545289011
"140",7,"PBO",0.0301600971869726,3,0.969839902813027
"141",7,"GGG",0.0360050465460181,4,0.963994953453982
"142",7,"PBB",0.0360301348890227,5,0.963969865110977
"143",7,"OBB",0.0434126586194574,6,0.956587341380543
"144",7,"GOO",0.045644970363292,7,0.954355029636708
"145",7,"GGO",0.0479725999245648,8,0.952027400075435
"146",7,"OOO",0.0499382203887077,9,0.950061779611292
"147",7,"PPB",0.0507059417084652,10,0.949294058291535
"148",7,"PPO",0.052195272397505,11,0.947804727602495
"149",7,"PGG",0.0538636643978044,12,0.946136335602196
"150",7,"OGO",0.0539613978712037,13,0.946038602128796
"151",7,"PPP",0.0546149865587225,14,0.945385013441277
"152",7,"BBB",0.0638489626028573,15,0.936151037397143
"153",7,"GOP",0.0675852863451691,16,0.932414713654831
"154",7,"POO",0.0745173240837995,17,0.9254826759162
"155",7,"BOB",0.0837068589201461,18,0.916293141079854
"156",7,"OOP",0.107098931727137,19,0.892901068272863
"157",8,"POP",0.0224308032661687,1,0.977569196733831
"158",8,"OPP",0.0236336282992101,2,0.97636637170079
"159",8,"GOO",0.027093983087411,3,0.972906016912589
"160",8,"PPO",0.0321526964156482,4,0.967847303584352
"161",8,"PBO",0.0334811617413421,5,0.966518838258658
"162",8,"PPP",0.0378071064520171,6,0.962192893547983
"163",8,"PBB",0.040168603211974,7,0.959831396788026
"164",8,"GOP",0.0411881485010728,8,0.958811851498927
"165",8,"GGG",0.0456206372485868,9,0.954379362751413
"166",8,"PGG",0.0463611113268898,10,0.95363888867311
"167",8,"OOO",0.0515811236430357,11,0.948418876356964
"168",8,"GGO",0.058013296027778,12,0.941986703972222
"169",8,"OGO",0.0589695294205243,13,0.941030470579476
"170",8,"POO",0.0608312652745365,14,0.939168734725463
"171",8,"PPB",0.0620346961762221,15,0.937965303823778
"172",8,"GPG",0.0679758214457063,16,0.932024178554294
"173",8,"BOB",0.0684321797949969,17,0.931567820205003
"174",8,"BBB",0.0718435511086902,18,0.92815644889131
"175",8,"OBB",0.0745535205696871,19,0.925446479430313
"176",8,"OOP",0.0758271369885022,20,0.924172863011498
"177",9,"OPP",0.0137336346700629,1,0.986266365329937
"178",9,"POP",0.0191899072751905,2,0.98081009272481
"179",9,"GOP",0.0292289481257688,3,0.970771051874231
"180",9,"PBO",0.0300366067399083,4,0.969963393260092
"181",9,"PPP",0.0372396432632324,5,0.962760356736768
"182",9,"PPO",0.0400112457288578,6,0.959988754271142
"183",9,"OBB",0.0413909013240441,7,0.958609098675956
"184",9,"GOO",0.0414760895425194,8,0.958523910457481
"185",9,"GPG",0.0423362755855567,9,0.957663724414443
"186",9,"GGG",0.0466279332468798,10,0.95337206675312
"187",9,"PBB",0.047605360510192,11,0.952394639489808
"188",9,"PPB",0.0510781003568199,12,0.94892189964318
"189",9,"GGO",0.0518199081958414,13,0.948180091804159
"190",9,"OGO",0.0540163923721045,14,0.945983607627896
"191",9,"OOP",0.058335697029609,15,0.941664302970391
"192",9,"BBB",0.0654786966578693,16,0.934521303342131
"193",9,"POO",0.0665810014655553,17,0.933418998534445
"194",9,"PGG",0.0739070157122538,18,0.926092984287746
"195",9,"OOO",0.0757306978463017,19,0.924269302153698
"196",9,"BOB",0.114175944351433,20,0.885824055648567
"197",10,"PBO",0.0227241071709223,1,0.977275892829078
"198",10,"GOO",0.0310303333827384,2,0.968969666617262
"199",10,"PBB",0.0315746258640437,3,0.968425374135956
"200",10,"GPG",0.0349165647031443,4,0.965083435296856
"201",10,"OGO",0.041241069717555,5,0.958758930282445
"202",10,"GGO",0.0427123117478107,6,0.957287688252189
"203",10,"OBB",0.0443999087922669,7,0.955600091207733
"204",10,"GGG",0.048290790199478,8,0.951709209800522
"205",10,"POP",0.0490463074923504,9,0.95095369250765
"206",10,"GOP",0.0496377223859471,10,0.950362277614053
"207",10,"OOO",0.0542359991088681,11,0.945764000891132
"208",10,"PPO",0.0550763081327884,12,0.944923691867212
"209",10,"PPP",0.0572266119956882,13,0.942773388004312
"210",10,"BBB",0.0621899955862665,14,0.937810004413734
"211",10,"PPB",0.0644247880032027,15,0.935575211996797
"212",10,"POO",0.0652705506758516,16,0.934729449324148
"213",10,"PGG",0.0658081323473368,17,0.934191867652663
"214",10,"OOP",0.0769325242451655,18,0.923067475754834
"215",10,"BOB",0.103261348448575,19,0.896738651551425
"216",11,"GOO",0.0268103589782041,1,0.973189641021796
"217",11,"GPG",0.0289826990258967,2,0.971017300974103
"218",11,"POP",0.0299264040048368,3,0.970073595995163
"219",11,"PBO",0.031543032511462,4,0.968456967488538
"220",11,"GGG",0.0398349991929116,5,0.960165000807088
"221",11,"GGO",0.0405315678288279,6,0.959468432171172
"222",11,"GOP",0.0416943197434191,7,0.958305680256581
"223",11,"OBB",0.0463951227455346,8,0.953604877254465
"224",11,"POO",0.0521902046893495,9,0.94780979531065
"225",11,"BBB",0.052227092929737,10,0.947772907070263
"226",11,"OGO",0.0537575866527196,11,0.94624241334728
"227",11,"PPP",0.0537764611308101,12,0.94622353886919
"228",11,"PPB",0.0542820878299906,13,0.945717912170009
"229",11,"OOO",0.0633113331393581,14,0.936688666860642
"230",11,"PPO",0.0659674143796725,15,0.934032585620328
"231",11,"PGG",0.0738999976001015,16,0.926100002399899
"232",11,"PBB",0.0739208476843565,17,0.926079152315643
"233",11,"OOP",0.078122331062145,18,0.921877668937855
"234",11,"BOB",0.0928261388706668,19,0.907173861129333
"235",12,"GGO",0.0282786330760723,1,0.971721366923928
"236",12,"GOO",0.0293051604900288,2,0.970694839509971
"237",12,"PBO",0.0311044607903025,3,0.968895539209698
"238",12,"OOO",0.0356123293900094,4,0.964387670609991
"239",12,"POP",0.036137170503417,5,0.963862829496583
"240",12,"GOP",0.0366028532704789,6,0.963397146729521
"241",12,"OBB",0.0374732487956136,7,0.962526751204386
"242",12,"PPB",0.0386681198416972,8,0.961331880158303
"243",12,"OGO",0.0415539397418301,9,0.95844606025817
"244",12,"GPG",0.0420795371947562,10,0.957920462805244
"245",12,"PBB",0.0427941873590992,11,0.957205812640901
"246",12,"GGG",0.0438312560651469,12,0.956168743934853
"247",12,"POO",0.0465709062405217,13,0.953429093759478
"248",12,"PPO",0.0509196729367141,14,0.949080327063286
"249",12,"PGG",0.0514648071670789,15,0.948535192832921
"250",12,"PPP",0.053474085510051,16,0.946525914489949
"251",12,"OOP",0.0535385039088199,17,0.94646149609118
"252",12,"BBB",0.0634040503510902,18,0.93659594964891
"253",12,"BOB",0.0653684519115789,19,0.934631548088421
"254",12,"OPP",0.171818625455693,20,0.828181374544307
"255",13,"GGO",0.0318257050934289,1,0.968174294906571
"256",13,"PBO",0.0339837909019432,2,0.966016209098057
"257",13,"GPG",0.0346179310247255,3,0.965382068975274
"258",13,"GOO",0.0348459332936193,4,0.965154066706381
"259",13,"OGO",0.0355644436997921,5,0.964435556300208
"260",13,"GOP",0.0387854705367278,6,0.961214529463272
"261",13,"POP",0.039263918436144,7,0.960736081563856
"262",13,"BBB",0.0395034028359761,8,0.960496597164024
"263",13,"OBB",0.0404707179255671,9,0.959529282074433
"264",13,"GGG",0.0417430152874852,10,0.958256984712515
"265",13,"POO",0.0461027888561638,11,0.953897211143836
"266",13,"PBB",0.0473296621955899,12,0.95267033780441
"267",13,"OOP",0.0476019807511415,13,0.952398019248858
"268",13,"PPP",0.0521588717286609,14,0.947841128271339
"269",13,"PPO",0.0536938827084673,15,0.946306117291533
"270",13,"OOO",0.0547708896770291,16,0.945229110322971
"271",13,"PPB",0.0580695080748753,17,0.941930491925125
"272",13,"PGG",0.0608322029744255,18,0.939167797025575
"273",13,"BOB",0.0614008406787753,19,0.938599159321225
"274",13,"OPP",0.147435043319462,20,0.852564956680538
